ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_8943	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	NA	100	100	100	100	100	89	89
Seq_8944	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	100	100	100	100	99	99	99
Seq_8945	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	99	81	71	61	59	59	59
Seq_8946	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor	NA	100	100	100	100	100	50	50
Seq_8947	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	NA	NA	100	100	100	97	94	94	94
Seq_8948	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	100	100	100	100
Seq_8949	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	100	100	100	100	100	100	100
Seq_8950	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_8951	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	100	100	100	100	100	99	99
Seq_8952	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	100	100	100	97	94	94	94
Seq_8953	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	NA	100	100	100	100	100	95	82
Seq_8954	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetitomaculum	NA	100	100	100	100	100	98	98
Seq_8955	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cellulasensis	100	100	100	100	100	100	66
Seq_8956	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	NA	NA	NA	100	100	100	100	100	100	100
Seq_8957	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	100	75	75	73	47	20	20
Seq_8958	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	NA	100	100	100	100	100	89	89
Seq_8959	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	100	100	99	82	78	78	42
Seq_8960	Bacteria	Patescibacteria	Dojkabacteria	NA	NA	NA	NA	100	58	56	56	56	56	56
Seq_8961	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	100	100	100	100	100	100	100
Seq_8962	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	90	63	61	61	61	61
Seq_8963	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	99	43
Seq_8964	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	99	79	47	47	47	47	47
Seq_8965	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	echinoides	100	100	100	100	100	100	58
Seq_8966	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	90	65	64	64	64	64
Seq_8967	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	80	58	56	56	56	56
Seq_8968	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	90	65	65	65	65	65
Seq_8969	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	92
Seq_8970	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	100	100	100	100	100	99	90
Seq_8971	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	NA	100	100	100	100	94	53	47
Seq_8972	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	NA	NA	100	100	100	100	98	97	97
Seq_8973	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	NA	100	100	100	100	100	94	91
Seq_8974	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	96	81	78	78	78	78
Seq_8975	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	100	100	100	100	100	100	100
Seq_8976	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	100	100	100	100	100	81	81
Seq_8977	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	agri	100	100	100	100	100	100	87
Seq_8978	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	NA	100	100	100	100	100	96	96
Seq_8979	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	100	100	100	100	100	100	99
Seq_8980	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	koreensis	100	100	100	100	100	100	100
Seq_8981	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	100	100	100	100	100	100	100
Seq_8982	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	NA	100	100	100	100	100	63	63
Seq_8983	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	NA	100	100	100	100	100	67	40
Seq_8984	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_8985	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	100	100	100	100	100	100	18
Seq_8986	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	100	100	100	100	100	100	100
Seq_8987	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_8988	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA	100	100	100	41	22	22	19
Seq_8989	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	99	96	76	76	76	76
Seq_8990	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA	NA	100	99	99	99	89	89	89
Seq_8991	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera	NA	100	97	96	77	77	54	54
Seq_8992	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	NA	100	100	100	100	100	73	73
Seq_8993	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	82	46	41	41
Seq_8994	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	NA	100	100	100	100	99	91	27
Seq_8995	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	90	74	72	72	72	72
Seq_8996	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	urinaeequi	100	100	100	100	99	99	95
Seq_8997	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	97	80	68	67	67	67	67
Seq_8998	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	84	68	66	66	66	66
Seq_8999	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	97	97	90	37
Seq_9000	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	99	96	13
Seq_9001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	62	55
Seq_9002	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	91	72	71	71	71	71
Seq_9003	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	91	76	76	76	76	76
Seq_9004	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	100	100	99
Seq_9005	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	96	96	96	96
Seq_9006	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	NA	NA	100	100	100	99	99	99	99
Seq_9007	Bacteria	Myxococcota	Polyangia	NA	NA	NA	NA	100	99	99	28	28	28	28
Seq_9008	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	NA	100	100	100	100	100	100	100
Seq_9009	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	NA	NA	100	100	100	100	100	100	100
Seq_9010	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	100	89	80	80	79	79	79
Seq_9011	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	NA	NA	100	100	100	98	96	96	96
Seq_9012	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_9013	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	100	100	100	100	99	99	99
Seq_9014	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA	100	100	100	98	98	98	98
Seq_9015	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	NA	NA	100	100	100	100	100	55	55
Seq_9016	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	100	100	100	100	99	99	99
Seq_9017	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA	100	100	100	100	100	100	100
Seq_9018	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	98	84	30	30	28	28
Seq_9019	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	vadinBE97	NA	NA	100	100	100	100	100	100	100
Seq_9020	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	100	100	99	99	99	99	99
Seq_9021	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA	100	100	100	100	100	100	100
Seq_9022	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	gingivalis	100	100	100	100	100	100	92
Seq_9023	Bacteria	Chloroflexi	NA	NA	NA	NA	NA	100	55	14	13	13	13	13
Seq_9024	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	100	100	99	99	99	99	99
Seq_9025	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	80	48	48	48
Seq_9026	Bacteria	Chloroflexi	Chloroflexia	Thermobaculales	Thermobaculaceae	Thermobaculum	NA	100	100	100	100	100	100	100
Seq_9027	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA	100	100	100	97	86	86	86
Seq_9028	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	96	75	74	74	74	74
Seq_9029	Bacteria	Chloroflexi	Gitt-GS-136	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_9030	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	NA	100	100	100	100	100	100	100
Seq_9031	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	75	52	50	50	50	50
Seq_9032	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	78	53	52	52	52	52
Seq_9033	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	NA	NA	100	100	100	100	99	83	83
Seq_9034	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	93	74	72	72	72	72
Seq_9035	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	88	61	61	61	61	61
Seq_9036	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	NA	100	100	100	100	100	48	37
Seq_9037	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	88	58	58	58	58	58
Seq_9038	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	88	64	62	62	62	62
Seq_9039	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	94	66	65	65	65	65
Seq_9040	Bacteria	NA	NA	NA	NA	NA	NA	91	26	2	2	2	2	2
Seq_9041	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	peraridilitoris	100	100	100	100	100	100	98
Seq_9042	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	86	86
Seq_9043	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	100	90	90	90	70	70	70
Seq_9044	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	NA	NA	100	100	100	76	64	64	64
Seq_9045	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA	100	100	100	100	100	100	91
Seq_9046	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera	NA	100	100	100	100	100	98	98
Seq_9047	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	koreensis	100	100	100	100	100	88	65
Seq_9048	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	NA	100	100	100	100	100	100	87
Seq_9049	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	100	79	79	79	64	38	38
Seq_9050	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	100	100	100	100	100	38	38
Seq_9051	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	99	99	99
Seq_9052	Bacteria	NA	NA	NA	NA	NA	NA	99	37	34	19	19	17	11
Seq_9053	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	NA	100	100	100	100	100	100	78
Seq_9054	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	100	100	100	100	100	97	82
Seq_9055	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	100	100	100	100	100	100	97
Seq_9056	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	NA	100	100	100	100	100	80	80
Seq_9057	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	100	55	54	54	52	52	52
Seq_9058	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NA	NA	100	100	100	100	100	89	89
Seq_9059	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	63	32	32	32
Seq_9060	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	camelliae	100	100	100	100	100	100	100
Seq_9061	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	100	100	100	100	95	95	95
Seq_9062	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	100	75	47	42	42	42	42
Seq_9063	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	NA	NA	NA	100	100	100	100	98	98	98
Seq_9064	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	84	60	59	59	59	59
Seq_9065	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	86
Seq_9066	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	85	59	58	58	58	58
Seq_9067	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	91	75	70	70	70	70
Seq_9068	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	100	80	48	47	47	47	47
Seq_9069	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	98	79	48	47	47	47	47
Seq_9070	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	NA	100	100	100	100	100	100	16
Seq_9071	Bacteria	Actinobacteriota	Actinobacteria	0319-7L14	NA	NA	NA	100	100	100	99	99	99	99
Seq_9072	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter	NA	100	100	100	100	100	100	100
Seq_9073	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	NA	NA	NA	100	100	100	100	100	100	100
Seq_9074	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	100	95	95
Seq_9075	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	NA	NA	100	100	100	100	100	100	100
Seq_9076	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA	100	100	100	100	100	100	100
Seq_9077	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-009	NA	100	100	100	100	100	98	98
Seq_9078	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	NA	NA	100	100	100	100	100	100	100
Seq_9079	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	100	100	100	100	100	100	100
Seq_9080	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009	NA	100	100	100	100	100	100	100
Seq_9081	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	armeniacus	100	100	100	100	100	99	91
Seq_9082	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	78	56	51	51	51	51
Seq_9083	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA	100	100	100	100	100	95	95
Seq_9084	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA	100	100	100	100	100	98	98
Seq_9085	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	99	35
Seq_9086	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	74	53	53	53	53	53
Seq_9087	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	qilianensis	100	100	100	100	100	100	55
Seq_9088	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	90	73	73	73	73	73
Seq_9089	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	83	66	62	62	62	62
Seq_9090	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	92	68	68	68	68	68
Seq_9091	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	100	100	100	100	100	100	100
Seq_9092	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	100	100	100	100	99	74	72
Seq_9093	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	89	57	55	55	55	55
Seq_9094	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA	100	100	100	100	100	100	23
Seq_9095	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	100	100	100	99	99	75	73
Seq_9096	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	100	100	100	100	97	97	97
Seq_9097	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	99	99	90	90	13	13
Seq_9098	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	100	100	100	57	57	56	15
Seq_9099	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA	100	81	80	53	53	53	53
Seq_9100	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	NA	100	100	100	100	100	100	100
Seq_9101	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NA	NA	100	100	100	99	99	78	78
Seq_9102	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	NA	100	100	100	100	100	95	95
Seq_9103	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiales Incertae Sedis	Motilibacter	NA	100	100	100	100	100	100	100
Seq_9104	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	100	100	100	100	100	100	100
Seq_9105	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	NA	100	100	100	100	100	100	96
Seq_9106	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	genomospecies	100	100	100	100	100	94	61
Seq_9107	Bacteria	NA	NA	NA	NA	NA	NA	100	40	40	39	31	31	27
Seq_9108	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	NA	NA	100	100	100	97	95	95	95
Seq_9109	Bacteria	NA	NA	NA	NA	NA	NA	100	45	45	45	24	24	23
Seq_9110	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	NA	NA	100	100	100	100	100	65	65
Seq_9111	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	NA	NA	100	100	100	85	55	42	42
Seq_9112	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	52	52
Seq_9113	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	mexicana	100	100	100	100	100	99	80
Seq_9114	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	NA	100	100	100	100	100	97	47
Seq_9115	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	adhaerens	100	100	100	100	100	56	56
Seq_9116	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	99	68	44	16	16
Seq_9117	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	99	37
Seq_9118	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	78	57	57	57	57	57
Seq_9119	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	100	100	100	100	98	50	50
Seq_9120	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	94	75	72	72	72	72
Seq_9121	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	NA	100	100	100	100	100	100	100
Seq_9122	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	NA	100	100	100	100	100	82	82
Seq_9123	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	NA	100	100	100	100	100	96	96
Seq_9124	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	NA	100	100	100	100	100	100	100
Seq_9125	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	100	72	67	15	10	10	9
Seq_9126	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA	100	100	100	100	100	100	100
Seq_9127	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_9128	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA	100	100	100	100	100	100	100
Seq_9129	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_9130	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	87	84	38	38	26	24
Seq_9131	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA	100	100	100	100	100	100	100
Seq_9132	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA	100	100	100	100	100	100	100
Seq_9133	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	NA	NA	NA	100	98	98	93	93	93	93
Seq_9134	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-002	NA	100	100	100	100	100	100	100
Seq_9135	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	100	100	100	100	100	100	100
Seq_9136	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	94	94	94	94
Seq_9137	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	90	77	19	19	19	19
Seq_9138	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-010	NA	100	100	100	100	100	77	77
Seq_9139	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA	100	100	100	100	100	100	100
Seq_9140	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004	NA	100	100	100	99	99	99	99
Seq_9141	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	100	100	100	99	99	99	99
